timestamp,message,logStreamName
1762308566851,2025/11/05 02:09:26 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-139-136.ec2.internal
1762308566851,"[0m[31;1m[221.857ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/30_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/13_Test_Video_116_c3a982c7-e47c-4d65-a2d5-6381899bb136.mp4',""title""='Test Video 116',""status""='processed',""uploaded_at""='2025-11-05 01:53:44.883',""processed_at""='2025-11-05 02:09:26.629',""user_id""=13 WHERE ""id"" = 30[0m",ip-10-0-139-136.ec2.internal
1762308566859,2025/11/05 02:09:26 [Video 30] Completed processing at: 2025-11-05T02:09:26Z (Duration: 1m11.127875476s),ip-10-0-139-136.ec2.internal
1762308566889,2025/11/05 02:09:26 Processing video ID: 39,ip-10-0-139-136.ec2.internal
1762308566889,2025/11/05 02:09:26 [Video 39] Started processing at: 2025-11-05T02:09:26Z,ip-10-0-139-136.ec2.internal
1762308588002,2025/11/05 02:09:48 [Video 77] Completed processing at: 2025-11-05T02:09:48Z (Duration: 1m10.047044354s),ip-10-0-131-60.ec2.internal
1762308588032,2025/11/05 02:09:48 Processing video ID: 79,ip-10-0-131-60.ec2.internal
1762308588033,2025/11/05 02:09:48 [Video 79] Started processing at: 2025-11-05T02:09:48Z,ip-10-0-131-60.ec2.internal
1762308612561,
,ip-10-0-138-87.ec2.internal
1762308612561,2025/11/05 02:10:12 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-138-87.ec2.internal
1762308612561,"[0m[31;1m[488.458ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/43_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/29_Test_Video_8882_dffb3fc5-92b2-482a-882b-f426a99aa92b.mp4',""title""='Test Video 8882',""status""='processed',""uploaded_at""='2025-11-05 01:53:50.431',""processed_at""='2025-11-05 02:10:12.072',""user_id""=29 WHERE ""id"" = 43[0m",ip-10-0-138-87.ec2.internal
1762308612569,2025/11/05 02:10:12 [Video 43] Completed processing at: 2025-11-05T02:10:12Z (Duration: 1m9.934954368s),ip-10-0-138-87.ec2.internal
1762308612600,2025/11/05 02:10:12 Processing video ID: 51,ip-10-0-138-87.ec2.internal
1762308612600,2025/11/05 02:10:12 [Video 51] Started processing at: 2025-11-05T02:10:12Z,ip-10-0-138-87.ec2.internal
1762308642471,
,ip-10-0-139-136.ec2.internal
1762308642471,2025/11/05 02:10:42 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-139-136.ec2.internal
1762308642471,"[0m[31;1m[4559.793ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/39_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/27_Test_Video_1751_33455098-0ffd-4bf6-90d3-a0ca95874af7.mp4',""title""='Test Video 1751',""status""='processed',""uploaded_at""='2025-11-05 01:53:49.397',""processed_at""='2025-11-05 02:10:37.91',""user_id""=27 WHERE ""id"" = 39[0m",ip-10-0-139-136.ec2.internal
